Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Kade Anderson","LSU",20,10,1,3.5825242718446604,17,17,1,1,0,103,421,85,43,41,15,28,3,5,0,163,"Kade Anderson","sa3026056",
"Liam Doyle","TENN",21,10,3,2.8369565217391304,18,16,0,0,1,92,366,58,32,29,9,30,9,3,0,158,"Liam Doyle","sa3030545",
"Anthony Eyanson","LSU",20,10,2,2.4982207083982613,17,15,1,0,2,93.2,381,72,29,26,4,32,2,9,0,135,"Anthony Eyanson","sa3031104",
"Blake Gillespie","CLT",21,7,4,2.4219268489108456,15,15,3,2,0,100.1,385,69,28,27,9,19,4,2,0,131,"Blake Gillespie","sa3032227",
"Kyson Witherspoon","OU",20,10,4,2.6526315789473682,16,16,1,1,0,95,390,73,39,28,9,23,10,5,0,124,"Kyson Witherspoon","sa3045487",
"Colton Book","JOES",22,6,3,3.5307693343755084,14,14,1,1,0,86.2,349,66,41,34,12,20,8,1,0,122,"Colton Book","sa3027377",
"JB Middleton","USM",21,10,1,2.3069619696179653,16,16,1,0,0,105.1,415,65,28,27,8,25,11,4,1,122,"JB Middleton","sa3037985",
"JD Thompson","VAN",21,6,5,4,16,16,0,0,0,90,380,79,40,40,11,30,8,7,0,122,"JD Thompson","sa3043764",
"Ben Jacobs","ASU",21,4,4,4.948207321720422,16,16,0,0,0,83.2,368,71,48,46,9,45,9,5,1,120,"Ben Jacobs","sa3034527",
"Jamie Arnold","FSU",21,8,2,2.9763780421573323,15,15,0,0,0,84.2,351,63,30,28,7,27,15,0,0,119,"Jamie Arnold","sa3026225",
"Ethan Norby","ECU",,8,5,3.8,18,14,1,1,0,90,368,73,39,38,13,22,5,1,0,119,"Ethan Norby","sa3038921",
"Zach Root","ARK",21,8,5,3.5935252784763385,17,17,1,0,0,92.2,391,77,44,37,7,31,8,5,2,119,"Zach Root","sa3041130",
"Trey Beard","FAU",20,7,1,3.13953488372093,16,15,0,0,1,86,350,61,33,30,5,32,3,11,0,118,"Trey Beard","sa3026802",
"Cade Obermueller","IOWA",21,5,3,3.0239999077148467,15,15,1,0,0,83.1,356,62,36,28,5,32,16,4,0,117,"Cade Obermueller","sa3038991",805261
"Pico Kohn","MSST",22,5,4,4.725,15,15,0,0,0,80,350,69,47,42,13,29,9,8,1,114,"Pico Kohn","sa3035607",
"Garrett Yawn","LIU",23,10,2,3.9303796519417182,16,16,3,2,0,105.1,459,101,53,46,4,33,13,6,0,113,"Garrett Yawn","sa3045691",
"Aidan Cremarosa","FRES",21,6,6,4.342657226811729,17,17,1,1,0,95.1,409,89,55,46,18,27,10,5,0,112,"Aidan Cremarosa","sa3029549",
"Dominick Reid","ACU",21,6,3,3.2603772646237568,15,15,0,0,0,88.1,362,71,33,32,8,27,9,5,0,112,"Dominick Reid","sa3040572",
"Tyler Bremner","UCSB",21,5,4,3.491379195529701,14,14,0,0,0,77.1,310,60,32,30,5,19,6,6,0,111,"Tyler Bremner","sa3027644",
"Dax Whitney","ORST",,6,3,3.6588783742288475,16,16,0,0,0,71.1,310,58,29,29,5,36,10,8,1,111,"Dax Whitney","sa3060915",
"Antoine Jean","HOU",23,5,1,2.5522388059701493,21,0,0,0,5,67,266,40,21,19,4,20,3,8,2,110,"Antoine Jean","sa3034614",
"Aidan Knaak","CLEM",,9,1,4.18450172721323,16,16,0,0,0,90.1,383,71,46,42,9,29,11,10,0,110,"Aidan Knaak","sa3035526",
"Jack Martinez","ASU",,6,4,5.469827406329865,15,15,0,0,0,77.1,341,66,51,47,10,33,10,3,0,110,"Jack Martinez","sa3037172",
"Jack Anker","FRES",21,9,5,5.979238596477612,16,16,0,0,0,96.1,432,122,68,64,14,12,16,5,1,109,"Jack Anker","sa3026107",
"Brennan Stuprich","SELA",,9,5,2.9,14,14,0,0,0,90,367,68,34,29,11,28,6,3,0,109,"Brennan Stuprich","sa3043279",
"Patrick Forbes","LOU",20,4,2,4.363636363636363,14,14,0,0,0,66,294,52,39,32,7,33,9,10,0,107,"Patrick Forbes","sa3031537",
"Dom Fritton","NCSU",,5,6,4.465384746416085,17,17,1,0,0,86.2,389,92,54,43,13,39,6,8,0,107,"Dom Fritton","sa3031734",
"Cameron Flukey","CCU",,7,1,3.2400000898881416,16,16,1,1,0,91.2,371,72,37,33,6,21,8,8,0,106,"Cameron Flukey","sa3031493",
"Ethan Kleinschmit","ORST",,8,4,3.54440143999368,16,16,0,0,0,86.1,352,60,37,34,11,33,6,2,0,106,"Ethan Kleinschmit","sa3059697",
"Max Bayles","SCU",,3,6,4.455000169944769,15,11,1,1,1,66.2,299,60,36,33,8,31,7,11,0,105,"Max Bayles","sa3026768",
"Jonathan Gonzalez","STET",22,10,2,1.82562282536796,15,15,1,1,0,93.2,373,68,23,19,1,21,6,3,0,105,"Jonathan Gonzalez","sa3032427",
"Zane Taylor","UNCW",23,11,2,1.9756098086157028,15,15,2,1,0,95.2,365,62,24,21,8,11,6,2,0,105,"Zane Taylor","sa3043592",
"Joey Volini","FSU",,8,5,3.5038166918625957,16,15,2,0,0,87.1,357,76,38,34,8,25,8,3,2,105,"Joey Volini","sa3044555",
"Joseph Dzierwa","MSU",21,8,3,2.3563637017368304,15,15,1,1,0,91.2,372,68,31,24,4,22,5,4,2,104,"Joseph Dzierwa","sa3030726",
"Griffin Kirn","WVU",23,5,3,3.3636363636363638,18,17,1,0,1,99,420,86,46,37,13,30,14,2,0,103,"Griffin Kirn","sa3059692",
"Harrison Bodendorf","OKST",21,10,1,3.302158364005284,17,16,1,0,0,92.2,377,69,37,34,10,28,9,9,0,102,"Harrison Bodendorf","sa3027303",
"Dylan Brown","ODU",21,5,2,4.060975609756097,15,15,0,0,0,82,358,76,40,37,10,26,12,10,0,102,"Dylan Brown","sa3027818",
"Hunter Elliott","MISS",22,10,3,2.941634328571552,17,16,0,0,0,85.2,361,59,31,28,4,40,15,2,0,102,"Hunter Elliott","sa3030887",695545
"Grayson Grinsell","ORE",21,9,3,3.010135212721315,16,16,3,1,0,98.2,393,72,37,33,9,28,7,3,0,101,"Grayson Grinsell","sa3032742",
"Edwin Sanchez","BCU",,8,1,3.0483871905538247,17,17,1,0,0,82.2,355,78,34,28,2,33,3,8,0,101,"Edwin Sanchez","sa3060470",
"Erick Gonzales","JKST",,8,3,5.229248854165998,18,15,0,0,1,84.1,387,76,51,49,9,49,22,12,0,100,"Erick Gonzales","sa3032412",
"Cody Bowker","VAN",21,3,5,4.375,16,16,0,0,0,72,313,61,38,35,14,28,9,2,0,99,"Cody Bowker","sa3027486",
"Justin Lamkin","TA&M",21,5,7,3.4150196598635087,15,15,1,1,0,84.1,350,74,37,32,10,19,9,1,0,98,"Justin Lamkin","sa3035887",
"Cody New","CBU",,6,3,3.4875,16,15,0,0,1,80,346,65,36,31,6,31,11,2,0,98,"Cody New","sa3038802",
"Marcus Phillips","TENN",20,4,5,3.9036144578313254,17,17,1,1,0,83,359,75,45,36,11,34,8,4,0,98,"Marcus Phillips","sa3039870",
"Corey Braun","USF",22,8,4,3.711340206185567,16,15,1,1,0,97,402,83,44,40,10,24,6,1,0,97,"Corey Braun","sa3027612",
"Braylon Owens","UTSA",,7,2,4.381131949338173,20,14,0,0,3,88.1,381,72,46,43,10,38,3,4,0,97,"Braylon Owens","sa3039298",
"Reagan Rivera","COPP",22,5,4,4.909091063856994,15,14,0,0,0,80.2,369,72,63,44,2,38,14,12,0,97,"Reagan Rivera","sa3040840",
"Jackson Wells","LR",,3,8,5.3587784699075,17,16,1,0,0,87.1,390,95,59,52,10,35,10,10,0,97,"Jackson Wells","sa3044991",
"Jordan Gottesman","NE",,9,2,2.267999930786135,16,12,2,2,1,83.1,321,55,24,21,6,17,5,2,0,97,"Jordan Gottesman","sa3059332",
"Liam Peterson","FLA",,8,4,4.283653689030365,16,15,0,0,0,69.1,305,67,38,33,9,32,3,8,0,96,"Liam Peterson","sa3039785",
"Samuel Dutton","AUB",,7,3,4.3073931239797725,16,16,1,1,0,85.2,354,86,43,41,10,19,6,2,1,95,"Samuel Dutton","sa3030705",
"Eric Elliott","JKST",23,6,1,3.2837837837837838,18,13,1,0,2,74,322,53,34,27,2,47,10,4,0,95,"Eric Elliott","sa3030886",
"James Ellwanger","DBU",21,4,2,3.9789474483077893,16,14,0,0,0,63.1,288,58,32,28,2,39,13,12,0,95,"James Ellwanger","sa3030911",
"Trevor Hansen","UCI",,9,3,3.304195716052403,16,16,1,1,0,95.1,402,87,39,35,8,31,7,5,0,95,"Trevor Hansen","sa3033171",
"Griffin Hugus","MIA",21,6,7,4.161290322580645,17,17,2,0,0,93,400,84,47,43,10,35,13,4,0,95,"Griffin Hugus","sa3034275",
"Trystan Levesque","URI",23,8,2,3.493006899826826,16,16,0,0,0,95.1,401,92,40,37,7,23,6,6,0,95,"Trystan Levesque","sa3036275",
"Jacob Morrison","CCU",21,11,0,2.148788870609142,17,16,0,0,0,96.1,378,68,23,23,6,22,4,4,0,95,"Jacob Morrison","sa3038406",
"Chris Peguero","DAY",,5,5,6.535714285714286,15,14,0,0,0,84,390,100,70,61,8,25,13,3,0,95,"Chris Peguero","sa3039636",
"Ben Blair","LIB",,6,4,3.6719998879394566,15,15,0,0,0,83.1,364,76,38,34,7,30,6,2,1,94,"Ben Blair","sa3027209",
"Nic Schutte","MUR",21,8,4,4.846153846153846,17,15,1,0,0,91,407,75,55,49,10,51,15,6,1,94,"Nic Schutte","sa3041823",
"Blake Morningstar","WAKE",20,6,2,3.8734177215189876,16,14,0,0,0,79,347,71,45,34,10,32,8,5,2,93,"Blake Morningstar","sa3038387",
"Vincent Borghese","CCSU",,10,3,4.416357002580408,15,15,6,0,0,89.2,395,96,50,44,8,25,7,12,0,93,"Vincent Borghese","sa3066170",
"Ben Cleaver","UK",,6,3,3.253012048192771,15,15,0,0,0,83,337,54,35,30,5,30,10,3,1,92,"Ben Cleaver","sa3029018",
"Grant Edwards","UNO",,3,5,4.22608709670646,15,15,0,0,0,76.2,339,72,48,36,5,29,9,8,0,92,"Grant Edwards","sa3030809",
"Danny Macchiarola","HC",20,9,5,3.266904003290034,16,16,2,0,0,93.2,396,81,38,34,3,28,7,2,0,92,"Danny Macchiarola","sa3036776",
"Colter McAnelly","UTAH",,4,4,3.7877698881237083,14,14,1,0,0,92.2,400,82,39,39,9,34,9,8,0,92,"Colter McAnelly","sa3037419",
"Ethan Young","ECU",,5,0,3.83886242043509,23,1,0,0,3,70.1,303,57,34,30,9,34,3,2,0,92,"Ethan Young","sa3060988",
"Ryan Marohn","NCSU",,8,3,3.374999899417165,14,14,2,2,0,85.1,350,79,41,32,6,19,3,6,0,91,"Ryan Marohn","sa3037074",
"Truman Pauley","HARV",,4,6,4.606634904522108,14,12,0,0,1,70.1,315,42,42,36,7,48,16,18,0,91,"Truman Pauley","sa3039559",
"Owen Proksch","DUKE",,4,3,4.683673287073513,19,12,0,0,1,65.1,290,54,35,34,9,28,18,6,0,91,"Owen Proksch","sa3040240",
"Nathan Taylor","CIN",,7,2,3.9310344827586206,15,15,0,0,0,87,373,83,47,38,11,36,1,11,0,91,"Nathan Taylor","sa3043582",
"Malachi Witherspoon","OU",20,4,8,5.085201619744352,15,15,0,0,0,74.1,353,78,55,42,13,32,17,7,0,91,"Malachi Witherspoon","sa3045488",
"Wade Walton","HPU",19,8,3,5.18399984179688,15,15,2,1,0,83.1,365,80,56,48,12,27,13,6,0,91,"Wade Walton","sa3060867",
"Caden Aoki","USC",22,6,4,3.9896907216494846,17,16,1,0,0,97,405,93,53,43,9,14,9,9,1,90,"Caden Aoki","sa3026126",
"Davion Hickson","RICE",,2,7,3.8219178082191783,13,11,1,1,1,73,325,59,38,31,5,35,15,1,1,90,"Davion Hickson","sa3033771",
"Wes Mendes","FSU",,7,2,4.655172260706268,15,15,0,0,0,77.1,333,65,41,40,9,38,9,11,2,90,"Wes Mendes","sa3037853",
"Drew Whalen","WKU",20,9,3,3.526530722062425,16,16,0,0,0,81.2,350,71,33,32,5,31,8,5,0,90,"Drew Whalen","sa3045068",
"Tyler Kapa","EMU",21,5,7,6.818181818181818,17,14,1,0,0,66,323,87,58,50,7,37,5,3,0,90,"Tyler Kapa","sa3059643",
"Matthew Adams","USM",24,6,4,4.310924231555707,18,17,1,1,0,79.1,341,78,39,38,9,22,8,7,0,89,"Matthew Adams","sa3025764",
"Dominic Voegele","KU",,7,5,5.698961787267724,16,16,0,0,0,96.1,418,93,62,61,15,36,11,4,0,89,"Dominic Voegele","sa3044541",
"Landry Jurecka","QUC",22,3,7,3.2142857142857144,15,10,2,0,0,84,360,89,39,30,3,20,8,1,0,88,"Landry Jurecka","sa3035000",
"Jake Knapp","UNC",,14,0,2.022801252662056,16,15,2,0,0,102.1,397,72,27,23,6,16,7,4,0,88,"Jake Knapp","sa3035531",
"Tommy LaPour","TCU",,8,3,3.0885607986573844,16,16,0,0,0,90.1,376,78,33,31,6,27,8,4,0,88,"Tommy LaPour","sa3035976",
"Logan Lunceford","WAKE",21,5,5,5.25,17,15,0,0,1,60,268,46,40,35,5,28,12,10,0,88,"Logan Lunceford","sa3036695",
"Isaac Lyon","GCU",21,3,4,4.186046511627907,15,15,1,1,0,86,392,101,46,40,4,23,17,1,0,88,"Isaac Lyon","sa3036750",
"Davis Wright","WCU",,5,7,4.5,15,15,0,0,0,86,383,90,49,43,6,26,8,5,0,88,"Davis Wright","sa3060973",
"Kaden Echeman","NKU",,3,3,4.339285714285714,12,8,0,0,0,56,244,45,32,27,8,23,12,3,0,87,"Kaden Echeman","sa3030766",
"Clay Edmondson","UNCA",22,5,2,2.2040817012890157,13,13,0,0,0,81.2,348,66,25,20,4,26,21,4,0,87,"Clay Edmondson","sa3030792",
"Danny Thompson","UNCG",22,2,4,3.7945945163501116,23,2,0,0,4,61.2,264,54,32,26,4,24,6,4,0,87,"Danny Thompson","sa3043750",
"Jack Ohman","YALE",,8,1,1.3438914491089506,12,11,1,1,0,73.2,288,45,15,11,4,20,6,5,0,87,"Jack Ohman","sa3065376",
"Cole Carlon","ASU",,3,1,3.3333333333333335,29,0,0,0,4,54,222,32,23,20,3,25,4,7,1,86,"Cole Carlon","sa3028440",
"Jackson Flora","UCSB",20,6,3,3.6,13,11,1,1,0,75,309,58,35,30,7,17,9,5,0,86,"Jackson Flora","sa3031459",
"Connor OHara","GMU",24,7,4,2.8104090016420784,17,16,2,2,0,89.2,374,76,35,28,3,26,7,4,0,86,"Connor OHara","sa3039069",
"Lane Pearson","WES",24,5,5,4.016529052246631,14,14,1,1,0,80.2,360,81,48,36,6,24,11,3,0,86,"Lane Pearson","sa3060227",
"Serigne Sarre","MSM",,5,6,3.5,14,10,0,0,0,72,319,77,43,28,9,29,5,1,0,86,"Serigne Sarre","sa3060491",
"Brian Curley","UGA",22,4,4,3.5454545454545454,17,10,0,0,2,66,271,42,28,26,7,27,8,5,1,85,"Brian Curley","sa3029705",826536
"Aidan Haugh","UNC",22,5,4,3.804545322607376,16,14,1,1,0,73.1,328,69,37,31,11,33,4,6,0,85,"Aidan Haugh","sa3033399",815063
"Carson Lane","UNLV",,6,4,4.233050984303458,15,15,0,0,0,78.2,347,71,41,37,7,38,6,2,0,85,"Carson Lane","sa3035914",
"Cooper Moore","KU",,7,3,3.958646730082999,15,14,0,0,1,88.2,373,91,42,39,5,19,4,11,0,85,"Cooper Moore","sa3038290",
"Miller Riggins","SAM",,5,2,4.310924231555707,15,15,1,1,0,79.1,354,63,43,38,13,31,22,4,0,85,"Miller Riggins","sa3040750",
"Jacob Bazala","MERC",22,7,4,4.094262167062535,20,10,0,0,1,81.1,351,81,47,37,8,25,9,4,0,85,"Jacob Bazala","sa3064995",
"Jess Ackerman","MER",,4,4,4.734596985203278,18,10,0,0,0,70.1,315,62,43,37,10,40,9,4,0,84,"Jess Ackerman","sa3025727",
"Ben Alekson","FAIR",,9,2,3.3392225248189185,16,16,0,0,0,94.1,393,81,40,35,4,25,10,1,0,84,"Ben Alekson","sa3025872",
"Connor Fennell","VAN",,6,0,2.5312500603497043,17,7,1,1,2,53.1,206,33,16,15,9,11,3,2,0,84,"Connor Fennell","sa3031240",
"Brett Lanman","ACU",,7,2,6.25,15,15,1,0,0,72,336,79,55,50,12,34,8,8,0,84,"Brett Lanman","sa3035953",
"Dylan Mathiesen","LIB",,2,4,5.071066186239414,17,17,0,0,0,65.2,295,62,42,37,9,31,8,2,0,84,"Dylan Mathiesen","sa3037301",
"Brett Renfrow","VT",,3,7,3.891891891891892,15,15,0,0,0,74,332,78,37,32,7,34,3,6,0,84,"Brett Renfrow","sa3040617",
"Cade Crossland","OU",21,5,5,6.321950984230935,16,13,0,0,0,68.1,316,68,56,48,9,33,12,8,0,84,"Cade Crossland","sa3058955",
"Garrett Ahern","GCU",,6,5,6.720523793565382,15,15,0,0,0,76.1,360,99,62,57,12,27,12,5,0,83,"Garrett Ahern","sa3025811",
"Drew Beckner","EMU",,3,2,5.445377976701946,15,15,0,0,0,79.1,372,84,54,48,8,42,8,3,0,83,"Drew Beckner","sa3026857",
"Leighton Finley","UGA",21,3,2,4.849514742712919,16,14,0,0,0,68.2,302,56,42,37,12,25,12,3,0,83,"Leighton Finley","sa3031345",
"Ranard Grace","SOU",,4,7,7.635245662900403,15,15,2,0,0,81.1,373,102,78,69,13,28,11,2,0,83,"Ranard Grace","sa3032547",
"Owen Kramkowski","ARIZ",19,9,6,5.482758620689655,17,17,0,0,0,87,390,107,62,53,8,17,9,3,0,83,"Owen Kramkowski","sa3035687",
"Tate McKee","GT",20,8,3,4.8375,16,16,0,0,0,80,362,82,52,43,11,38,6,3,1,83,"Tate McKee","sa3037653",
"Finbar OBrien","GONZ",,6,1,5.776744391037498,16,11,0,0,0,71.2,331,75,55,46,11,31,10,9,0,83,"Finbar OBrien","sa3039003",
"Ricky Ojeda","UCI",,13,1,3.5454545454545454,29,2,0,0,2,66,279,49,27,26,6,29,11,3,0,83,"Ricky Ojeda","sa3039084",
"Jackson Phipps","JVST",,4,2,3.3303965877044472,15,15,1,0,0,75.2,326,47,31,28,1,43,12,6,1,83,"Jackson Phipps","sa3039879",
"Zach Royse","UTSA",,9,5,5.170212765957447,19,17,0,0,0,94,418,104,60,54,15,34,5,6,0,83,"Zach Royse","sa3041233",
"Josh Volmerding","CP",,5,5,6.023904565572687,17,17,0,0,0,83.2,393,98,62,56,11,29,18,3,0,83,"Josh Volmerding","sa3044557",
"Jake Brink","COFC",,6,6,3.5806451612903225,16,15,3,2,0,93,407,88,44,37,4,32,9,8,0,82,"Jake Brink","sa3027698",
"Tyler Charlton","MOST",,5,2,6.750000149704692,16,14,0,0,0,57.1,260,67,43,43,18,21,6,5,0,82,"Tyler Charlton","sa3028772",
"Jake Murray","CAM",,4,2,4.675977553980789,15,15,0,0,0,59.2,284,50,43,31,7,34,16,9,0,82,"Jake Murray","sa3038604",
"Myles Patton","TA&M",21,3,5,5.025974025974026,15,15,0,0,0,77,332,80,45,43,9,17,11,2,1,82,"Myles Patton","sa3039548",
"Aaron Savary","IOWA",20,7,2,4.369294467489331,15,15,0,0,0,80.1,342,67,39,39,10,33,15,1,2,82,"Aaron Savary","sa3041614",
"Dylan Delvecchio","SMC",24,7,3,4.897674592401357,18,14,0,0,0,71.2,311,61,41,39,10,31,5,7,0,81,"Dylan Delvecchio","sa3030109",
"Chris Diaz","FGCU",,6,3,4.8,13,12,2,1,0,75,319,73,42,40,8,21,2,5,0,81,"Chris Diaz","sa3030255",
"Justin Mitrovich","ELON",21,6,4,4.231343163124678,15,15,1,1,0,89.1,376,73,45,42,5,35,8,5,0,81,"Justin Mitrovich","sa3038180",
"Amp Phillips","UPST",,7,2,3.642857142857143,20,12,1,1,2,84,340,63,34,34,11,29,9,2,0,81,"Amp Phillips","sa3060262",
"Micah Bucknam","DBU",21,6,2,4.620320949866982,13,13,2,1,0,62.1,272,54,40,32,6,25,12,3,0,80,"Micah Bucknam","sa3027969",
"Colton Cosper","MER",,7,2,3.566037633182234,16,15,2,0,0,88.1,362,88,37,35,7,13,5,0,0,80,"Colton Cosper","sa3029429",
"Colin Daniel","UAB",,6,5,3.1532845837311965,14,14,2,1,0,91.1,379,81,41,32,6,15,14,2,0,80,"Colin Daniel","sa3029823",
"Connor Lockwood","VAL",,3,8,6.585366028719009,14,14,2,0,0,95.2,431,116,84,70,17,20,4,0,0,80,"Connor Lockwood","sa3036437",
"Alistair Morin","SIE",,5,5,3.9036144578313254,15,15,0,0,0,83,383,75,45,36,4,48,15,7,0,80,"Alistair Morin","sa3038376",
"Mikiah Negrete","CSUF",21,5,3,5.578512572564766,15,15,0,0,0,80.2,366,94,57,50,10,33,1,2,0,80,"Mikiah Negrete","sa3038730",
"Kenji Pallares","LMU",23,3,5,6.336734447217107,15,14,0,0,0,65.1,309,70,51,46,9,35,6,5,0,80,"Kenji Pallares","sa3039366",
"Daxton Purser","UNM",23,3,5,6.939252089054711,17,11,0,0,1,71.1,334,84,66,55,9,31,2,8,0,80,"Daxton Purser","sa3040296",
"Colton Shaw","YALE",22,6,2,3.128755467255407,12,12,0,0,0,77.2,329,64,32,27,5,24,13,4,0,80,"Colton Shaw","sa3042084",
"Ryan Borberg","DBU",,9,4,3.375,16,15,0,0,0,80,342,75,31,30,5,20,9,7,0,79,"Ryan Borberg","sa3027390",
"Peyton Havard","LAM",,7,2,2.7287233488869496,22,5,0,0,5,62.2,261,52,28,19,4,15,2,3,0,79,"Peyton Havard","sa3033412",
"Nolan Johnson","NDSU",22,4,6,4.517110397197024,16,16,0,0,0,87.2,373,85,46,44,9,23,4,4,0,79,"Nolan Johnson","sa3034795",
"Colton Kennedy","UVU",,5,5,6.655814189673639,16,14,0,0,0,71.2,327,80,56,53,15,32,6,6,0,79,"Colton Kennedy","sa3035262",
"Jorhan LaBoy","ALST",,8,2,3.89891686012139,17,12,2,0,0,92.1,404,97,49,40,12,25,5,4,0,79,"Jorhan LaBoy","sa3035818",
"Sam Murchison","UNCG",,6,5,4.97071145574694,15,14,1,1,0,79.2,357,84,49,44,9,28,10,6,0,79,"Sam Murchison","sa3038567",
"Albert Roblez","LBSU",21,4,3,2.7771429176797686,19,3,0,0,4,58.1,243,34,20,18,4,28,9,4,0,79,"Albert Roblez","sa3040930",
"Collin Rothermel","JAX",22,6,4,4.018604793765216,15,15,0,0,0,71.2,303,52,34,32,4,37,7,9,0,79,"Collin Rothermel","sa3041199",
"Jared Schaeffer","AKR",,2,7,4.3073931239797725,14,14,1,0,0,85.2,360,84,43,41,9,20,8,5,0,79,"Jared Schaeffer","sa3041657",
"Joe Skapinetz","LAF",22,1,7,5.8263159064506915,12,12,1,0,0,63.1,296,72,47,41,9,24,12,4,0,79,"Joe Skapinetz","sa3042386",
"Jaden Wywoda","HC",21,9,3,3.6284583886049777,16,16,2,1,0,84.1,372,76,46,34,6,28,13,4,0,79,"Jaden Wywoda","sa3045658",
"Caden Hunter","USC",21,6,6,5.502369469290296,16,14,0,0,1,70.1,316,73,51,43,12,36,3,11,2,79,"Caden Hunter","sa3059552",
"Aidan King","FLA",,7,2,2.577272637895319,17,12,0,0,0,73.1,304,58,28,21,3,23,4,3,0,79,"Aidan King","sa3059682",
"Joel Core","BCU",,6,2,5.085201619744352,14,13,1,0,0,74.1,333,69,49,42,11,31,10,9,0,78,"Joel Core","sa3029383",
"Colin Fitzgerald","ME",,5,6,5.684210689349947,14,14,1,0,0,88.2,396,106,61,56,13,33,5,6,0,78,"Colin Fitzgerald","sa3031401",
"Gabe Gaeckle","ARK",,4,2,4.7647059795503255,17,9,0,0,2,62.1,272,56,35,33,6,28,5,8,0,78,"Gabe Gaeckle","sa3031812",
"Murphy Gienger","UNCO",,1,4,5.899159474760441,14,13,1,0,0,79.1,376,101,58,52,11,31,7,2,0,78,"Murphy Gienger","sa3032196",
"Owen Kelly","SLU",,6,2,4.6125,15,15,0,0,0,80,356,79,45,41,7,29,14,3,0,78,"Owen Kelly","sa3035227",
"Mason Morris","MISS",21,5,1,3.2926828502403156,19,0,0,0,1,54.2,229,45,25,20,6,21,2,6,1,78,"Mason Morris","sa3038414",
"Dustin Revis","WCU",,7,5,4.044534288026932,15,15,0,0,0,82.1,354,73,42,37,4,31,10,7,0,78,"Dustin Revis","sa3040639",
"Brandon Cassedy","GMU",,8,2,3.3214285714285716,16,15,0,0,0,84,359,76,33,31,10,30,9,4,0,78,"Brandon Cassedy","sa3058833",
"Chris Torres","UPST",,8,4,4.758196572532135,17,16,0,0,0,81.1,369,94,63,43,13,29,4,2,0,78,"Chris Torres","sa3060772",
"Colby Allen","USM",,7,4,3.626865671641791,29,2,0,0,12,67,276,53,30,27,7,17,4,4,1,77,"Colby Allen","sa3025911",
"Jake Clemente","FLA",21,2,1,3.457316992752331,21,5,0,0,7,54.2,235,36,23,21,3,25,9,1,0,77,"Jake Clemente","sa3029027",
"Ian Cooke","CONN",23,2,5,6.256097415456599,20,4,0,0,3,54.2,261,71,46,38,9,20,7,3,1,77,"Ian Cooke","sa3029317",
"Nick Finarelli","LIU",,9,5,4.655172413793103,16,15,3,0,0,87,397,100,53,45,5,42,5,5,0,77,"Nick Finarelli","sa3031330",
"Peyton Fosher","NEV",22,6,4,5.752174103850459,15,15,0,0,0,76.2,337,88,51,49,11,21,6,6,0,77,"Peyton Fosher","sa3031567",
"Isaiah Magdaleno","HAW",,4,1,2.7,24,0,0,0,9,60,242,46,19,18,6,11,3,3,0,77,"Isaiah Magdaleno","sa3036845",
"Jake McCoy","SC",,4,5,6.9,14,14,0,0,0,60,291,62,57,46,14,40,17,6,0,77,"Jake McCoy","sa3037509",
"M.T. Morrissey","NJIT",23,6,6,5.0283399256551045,15,14,3,0,1,82.1,370,83,47,46,9,33,5,6,0,77,"M.T. Morrissey","sa3038416",
"Robert Orloski","UTSA",,8,0,3.359446886495181,27,0,0,0,9,72.1,296,55,29,27,10,27,4,5,0,77,"Robert Orloski","sa3039191",
"JT Raab","GTWN",,4,3,3.632286871245966,14,14,0,0,0,74.1,330,81,42,30,8,35,6,7,0,77,"JT Raab","sa3040359",
"Cal Scolari","USD",,5,3,4.222748662478599,15,15,0,0,0,70.1,306,54,35,33,4,39,13,4,0,77,"Cal Scolari","sa3060534",
"Nathaniel Varnier","NORF",23,2,5,6.369230769230769,13,12,0,0,0,65,323,69,51,46,9,53,11,7,0,77,"Nathaniel Varnier","sa3060827",
"Noah Chapman","UNCG",,5,3,5.136585174687635,21,7,0,0,1,68.1,292,71,45,39,7,16,11,5,0,76,"Noah Chapman","sa3028756",
"Elijah Foster","SHU",,5,3,5.225806267881393,15,15,0,0,0,72.1,340,58,50,42,7,53,12,10,0,76,"Elijah Foster","sa3031575",
"Brady Frederick","ETSU",20,8,2,2.6652361387731247,24,0,0,0,4,77.2,305,50,25,23,8,19,9,1,0,76,"Brady Frederick","sa3031670",
"Ty Horn","NEB",,4,4,4.937743337245105,18,17,0,0,0,85.2,370,86,52,47,15,32,4,1,2,76,"Ty Horn","sa3034098",
"Jack Kartsonas","WVU",24,6,3,2.9378237180631284,19,8,0,0,1,64.1,270,58,24,21,6,16,7,5,0,76,"Jack Kartsonas","sa3035096",
"Tanner Perry","ILST",22,4,6,6.182242770248743,16,15,2,1,0,71.1,329,83,55,49,11,28,7,3,1,76,"Tanner Perry","sa3039755",
"Braeden Sloan","TCU",21,3,4,4.142045364769039,17,0,0,0,3,58.2,255,43,28,27,6,28,9,6,0,76,"Braeden Sloan","sa3042435",
"Ty Brachbill","NIU",,1,8,8.1,14,13,0,0,0,70,351,93,76,63,12,31,15,6,0,75,"Ty Brachbill","sa3027539",
